ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,Field1,Field3,Field2,MYKEY,SIT,STATE
11001,1,1,1,1,33,1,2,6,1,2,1,4,4,3,0,0,1,1,0,1,0,0,0,1,2,1,1,1,4,4,2,3,3,2,0,joy,4,3,0110011,"During the period of falling in love, each time that we met and 谩 especially when we had not met for a long time.",1
11001,1,1,1,1,33,1,2,6,1,2,2,4,3,2,2,0,0,1,0,0,0,0,2,1,1,3,0,2,2,1,3,2,2,0,0,fear,3,2,0110012,When I was involved in a traffic accident.,1
11001,1,1,1,1,33,1,2,6,1,2,3,4,1,3,0,0,0,2,0,0,0,0,1,1,1,3,3,0,3,1,2,2,1,0,0,anger,1,3,0110013,"When I was driving home after  several days of hard work, there 谩 was a motorist ahead of me who was driving at 50 km/hour and 谩 refused, despite his low speeed to let me overtake.",1
11001,1,1,1,1,33,1,2,6,1,2,4,4,4,4,1,1,0,1,0,0,1,0,1,2,1,3,3,3,3,5,0,1,1,0,2,sadness,4,4,0110014,When I lost the person who meant the most to me. ,1
11001,1,1,1,1,33,1,2,6,1,2,5,4,4,4,3,0,0,0,0,0,0,0,1,1,1,3,0,0,4,1,0,0,2,0,0,disgust,4,4,0110015,"The time I knocked a deer down - the sight of the animal's 谩 injuries and helplessness.  The realization that the animal was 谩 so badly hurt that it had to be put down, and when the animal 谩 screamed at the moment of death.",1
11001,1,1,1,1,33,1,2,6,1,2,6,4,4,3,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,2,3,1,2,0,0,shame,4,3,0110016,When I did not speak the truth.,1
11001,1,1,1,1,33,1,2,6,1,2,7,1,3,1,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,5,3,1,0,0,0,guilt,3,1,0110017,When I caused problems for somebody because he could not keep the 谩 appointed time and this led to various consequences.,1
11002,1,1,2,2,23,0,0,7,5,2,1,3,2,2,0,0,1,3,1,1,0,0,2,1,1,1,1,0,0,4,0,3,0,0,0,joy,2,2,0110021,When I got a letter offering me the Summer job that I had applied 谩 for.  ,1
11002,1,1,2,2,23,0,0,7,5,2,2,4,3,3,2,0,1,0,1,0,0,0,0,3,2,3,0,0,0,3,0,2,0,0,0,fear,3,3,0110022,When I was going home alone one night in Paris and a man came up 谩 behind me and asked me if I was not afraid to be out alone so 谩 late at night.,1
11002,1,1,2,2,23,0,0,7,5,2,3,3,3,4,2,0,0,2,0,0,0,1,2,1,1,2,3,0,2,1,3,2,1,3,0,anger,3,4,0110023,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,1
11002,1,1,2,2,23,0,0,7,5,2,4,3,4,4,0,2,0,1,0,0,0,0,0,3,2,3,3,3,2,3,3,1,1,0,2,sadness,4,4,0110024,When my friends did not ask me to go to a New Year's party 谩 with them.,1
11002,1,1,2,2,23,0,0,7,5,2,5,4,2,1,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,0,disgust,2,1,0110025,When I saw all the very drunk kids (13-14 years old) in town on 谩 Walpurgis night.,1
11002,1,1,2,2,23,0,0,7,5,2,6,1,1,2,3,0,2,2,1,1,0,0,0,3,3,3,2,1,1,2,0,1,2,0,0,shame,1,2,0110026,When I could not remember what to say about a presentation task 谩 at an accounts meeting.,1
11002,1,1,2,2,23,0,0,7,5,2,7,2,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,0,2,0,0,guilt,2,2,0110027,When my uncle and my neighbour came home under police escort.,1
11003,1,1,3,2,22,8,2,4,6,2,1,1,3,3,0,0,2,1,1,1,0,0,2,1,0,1,1,0,0,5,1,3,3,3,0,joy,3,3,0110031,[ On days when I feel close to my partner and other friends.  谩 When I feel at peace with myself and also experience a close 谩 contact with people whom I regard greatly.],1
11003,1,1,3,2,22,8,2,4,6,2,2,1,2,2,1,2,2,1,1,0,0,0,0,2,2,3,0,0,1,1,0,1,0,0,2,fear,2,2,0110032,"Every time I imagine that someone I love or I could contact a 谩 serious illness, even death.",1
11003,1,1,3,2,22,8,2,4,6,2,3,3,4,4,4,1,0,2,0,0,1,0,2,2,1,3,3,3,2,1,0,1,1,2,2,anger,4,4,0110033,When I had been obviously unjustly treated and had no possibility 谩 of elucidating this.,1
11003,1,1,3,2,22,8,2,4,6,2,4,2,3,3,0,0,0,1,1,0,0,0,0,2,2,3,0,1,1,5,1,3,0,1,0,sadness,3,3,0110034,When I think about the short time that we live and relate it to 谩 the periods of my life when I think that I did not use this 谩 short time.,1
11003,1,1,3,2,22,8,2,4,6,2,5,2,4,4,3,0,1,2,1,0,0,0,2,2,3,3,3,0,0,1,3,3,1,2,0,disgust,4,4,0110035,At a gathering I found myself involuntarily sitting next to two 谩 people who expressed opinions that I considered very low and 谩 discriminating.,1
11003,1,1,3,2,22,8,2,4,6,2,6,1,3,2,2,1,0,2,0,0,1,0,2,2,2,3,3,0,1,5,3,1,1,3,2,shame,3,2,0110036,When I realized that I was directing the feelings of discontent 谩 with myself at my partner and this way was trying to put the blame 谩 on him instead of sorting out my own feeliings.,1
11003,1,1,3,2,22,8,2,4,6,2,7,1,1,2,0,0,0,2,1,0,0,0,0,2,0,3,0,0,1,5,2,1,1,0,0,guilt,1,2,0110037,I feel guilty when when I realize that I consider material things 谩 more important than caring for my relatives.  I feel very 谩 self-centered.,1
11004,1,1,4,1,23,8,2,6,4,2,1,1,3,3,0,0,1,1,0,1,0,0,0,1,2,1,1,0,2,4,1,3,3,3,0,joy,3,3,0110041,After my girlfriend had taken her exam we went to her parent's 谩 place.,1
11004,1,1,4,1,23,8,2,6,4,2,2,4,4,4,0,0,0,0,1,0,0,0,0,3,3,3,1,1,1,3,0,2,0,0,0,fear,4,4,0110042,"When, for the first time I realized the meaning of death.",1
11004,1,1,4,1,23,8,2,6,4,2,3,2,1,4,2,0,0,1,0,0,0,0,1,1,3,1,2,3,3,4,3,3,1,0,0,anger,1,4,0110043,When a car is overtaking another and I am forced to drive off the 谩 road.,1
11004,1,1,4,1,23,8,2,6,4,2,4,1,3,2,0,1,0,0,1,0,0,0,0,2,2,3,3,0,1,5,0,1,0,0,1,sadness,3,2,0110044,"When I recently thought about the hard work it takes to study, and  谩 how one wants to try something else.  When I read a theoretical 谩 book in English that I did not understand.",1
11004,1,1,4,1,23,8,2,6,4,2,5,3,1,2,0,1,0,0,0,0,0,0,0,1,1,3,0,0,3,4,0,2,0,1,1,disgust,1,2,0110045,When I found a bristle in the liver paste tube.,1
11004,1,1,4,1,23,8,2,6,4,2,6,1,1,1,0,0,0,0,1,0,0,0,0,2,1,3,2,3,1,5,1,2,2,0,0,shame,1,1,0110046,"When I was tired and unmotivated, I shouted at my girlfriend and 谩 and brought up negative sides of her character which are actually 谩 not so important.",1
11004,1,1,4,1,23,8,2,6,4,2,7,1,2,2,0,0,0,0,1,0,0,0,0,3,2,3,1,2,1,1,3,1,0,0,0,guilt,2,2,0110047,When I think that I do not study enough.  After the weekend I 谩 think that I should have been able to have accomplished 谩 something during that time.,1
11005,1,1,5,2,22,1,1,7,6,2,1,3,3,3,1,0,0,3,1,1,0,0,1,1,1,1,1,1,1,4,1,3,2,3,0,joy,3,3,0110051,When I pass an examination which I did not think I did well.,1
11005,1,1,5,2,22,1,1,7,6,2,2,3,1,2,1,0,2,1,0,0,0,0,1,1,2,3,2,2,4,3,0,2,2,0,0,fear,1,2,0110052,"When one has arranged to meet someone and that person arrives 谩 late, in the meantime one starts thinking about all that could 谩 have gone wrong e.g a traffic accident.",1
11005,1,1,5,2,22,1,1,7,6,2,3,4,1,3,1,0,2,2,0,0,1,0,0,2,1,3,2,3,2,5,2,2,1,0,1,anger,1,3,0110053,When one is unjustly accused of something one has not done.,1
11005,1,1,5,2,22,1,1,7,6,2,4,1,2,2,0,0,0,1,1,0,0,0,0,2,2,3,1,0,0,5,1,3,2,1,0,sadness,2,2,0110054,When one's studies seem hopelessly difficult and uninteresting.  ,1
11005,1,1,5,2,22,1,1,7,6,2,5,4,2,2,0,0,1,0,0,0,0,0,1,2,1,3,2,2,2,3,3,2,2,0,0,disgust,2,2,0110055,"When one finds out that someone you know is not at all like one 谩 had thought, for instance friends who steal and things like that, 谩 quite unwarranted.",1
11005,1,1,5,2,22,1,1,7,6,2,6,3,2,2,0,1,0,0,0,0,0,0,0,2,0,3,2,2,1,2,2,2,2,1,1,shame,2,2,0110056,"When one has been unjust, stupid towards someone else. ",1
11005,1,1,5,2,22,1,1,7,6,2,7,3,1,1,0,1,0,0,1,0,0,0,0,2,2,3,2,2,1,5,2,1,1,2,1,guilt,1,1,0110057,When one has neglected or been unjust to a good friend.,1
11006,1,1,6,1,23,1,2,0,0,2,1,4,2,3,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,4,1,3,0,0,0,joy,2,3,0110061,Passing an exam I did not expect to pass.,1
11006,1,1,6,1,23,1,2,0,0,2,2,3,1,2,1,0,0,1,0,1,0,0,0,1,0,2,1,1,4,5,0,3,3,1,0,fear,1,2,0110062,When I climbed up a tree to pick apples.  The angle of the ladder 谩 I was on did not enable me to get high enough.  This implied 谩 that the ladder was not very stable.,1
11006,1,1,6,1,23,1,2,0,0,2,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,5,0,0,1,0,0,anger,3,3,0110063,Friends who torture animals.,1
11006,1,1,6,1,23,1,2,0,0,2,4,4,1,2,0,0,0,0,0,0,0,0,0,2,1,3,0,3,2,5,3,0,1,0,0,sadness,1,2,0110064,[ Same as in anger.],1
11006,1,1,6,1,23,1,2,0,0,2,5,4,2,4,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,3,0,1,0,0,disgust,2,4,0110065,Friends who torture animals.,1
11006,1,1,6,1,23,1,2,0,0,2,6,4,1,2,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,5,0,0,1,3,0,shame,1,2,0110066,[ Same as above - friends who torture animals.],1
11006,1,1,6,1,23,1,2,0,0,2,7,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,5,1,0,0,0,0,guilt,1,2,0110067,[ When excuses are necessary and I get out of doing it myself.],1
11007,1,1,7,2,35,0,2,0,8,2,1,4,4,4,0,0,1,2,1,1,0,0,1,2,3,1,0,3,0,4,1,3,3,3,0,joy,4,4,0110071,When I had my children.,1
11007,1,1,7,2,35,0,2,0,8,2,2,1,1,4,3,0,1,2,0,0,0,0,2,1,1,3,0,0,0,5,0,2,2,0,0,fear,1,4,0110072,When my 2 year old son climbed up and sat on the 7th floor 谩 balcony with his legs hanging out.  He was holding on tightly to 谩 the upper railing of the balcony but he could have easily lost 谩 his balance when he sat down.,1
11007,1,1,7,2,35,0,2,0,8,2,3,2,4,4,3,0,2,0,0,0,0,1,1,1,1,3,3,3,3,5,3,3,0,3,0,anger,4,4,0110073,When my partner was attacked and lost three teeth.,1
11007,1,1,7,2,35,0,2,0,8,2,4,1,1,2,0,1,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,2,2,0,1,sadness,1,2,0110074,When I see children on T.V from areas devastated by drought and 谩 war.,1
11007,1,1,7,2,35,0,2,0,8,2,5,2,1,3,3,0,1,1,0,0,0,0,1,1,1,3,0,0,4,4,1,2,2,1,0,disgust,1,3,0110075,When I nearly walked on a blindworm and then saw it crawl away.,1
11007,1,1,7,2,35,0,2,0,8,2,6,4,4,4,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,5,0,0,0,0,0,shame,4,4,0110076,When I saw my 18 year old son grab an oxygen mask as he had 谩 breathing difficulties.  I had a bad conscience because I had not 谩 stopped smoking.  Medication for the dilation of his breathing 谩 tubes also caused a sense of guilt in me.,1
11007,1,1,7,2,35,0,2,0,8,2,7,4,4,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,1,1,1,3,0,0,guilt,4,3,0110077,"I experience a sense of guilt as my middle son cannot express 谩 himself like other children, neither verbally nor in writing.",1
11008,1,1,8,2,34,1,2,7,7,2,1,4,3,4,2,1,1,4,1,1,1,0,1,1,3,1,1,0,4,5,1,3,3,3,2,joy,3,4,0110081,When my child was born.,1
11008,1,1,8,2,34,1,2,7,7,2,2,4,1,4,3,0,0,1,0,0,0,0,0,1,1,3,3,1,0,1,2,2,2,2,0,fear,1,4,0110082,"It was winter/spring and the ice was melting.  I was far out on a 谩 jetty and I poked the ice with a long branch to try and break it. 谩  The branch went through the ice and I fell in, the water closed 谩 in over my head.",1
11008,1,1,8,2,34,1,2,7,7,2,3,2,3,2,3,0,2,2,0,0,0,1,1,1,1,2,2,2,2,2,2,1,1,3,0,anger,3,2,0110083,"Unjust accusations directed at me and my way of acting, by 谩 someone close to me.  ",1
11008,1,1,8,2,34,1,2,7,7,2,4,3,4,2,0,1,0,1,0,0,0,0,0,2,2,3,3,2,4,4,2,1,2,0,1,sadness,4,2,0110084,Failing an examination.,1
11008,1,1,8,2,34,1,2,7,7,2,5,3,1,2,2,1,2,0,1,0,0,0,0,3,1,3,3,0,0,3,3,1,0,0,1,disgust,1,2,0110085,"A drunkard fell, started bleeding and wet himself.  Disgust that 谩 turned into sadness-unpleasantness.",1
11008,1,1,8,2,34,1,2,7,7,2,6,3,3,2,2,0,1,2,0,0,0,0,1,2,2,3,3,2,1,5,2,1,1,3,0,shame,3,2,0110086,"When, as an adult I have been caught lying or behaving badly.",1
11008,1,1,8,2,34,1,2,7,7,2,7,4,3,2,0,0,2,1,0,0,0,0,0,2,2,3,2,0,0,0,0,1,3,0,0,guilt,3,2,0110087,"When I am in an environment or with a person much worse off than 谩 me, I realize how privileged I am.",1
11009,1,1,9,2,24,1,1,7,7,2,1,1,3,3,0,0,1,1,0,1,0,0,0,1,3,1,2,1,2,4,1,2,3,1,0,joy,3,3,0110091,When I saw a person I had not seen for a long time.,1
